timestamp,city,avg_temp,humidity,wind_kph
2024-05-27,Belmopan,29.1,74,15.1
2024-05-28,Belmopan,29.2,74,15.8
2024-05-29,Belmopan,29.0,72,16.2
2024-05-30,Belmopan,29.5,66,15.8
2024-05-31,Belmopan,29.8,67.6,16.3
2024-05-24,Porto-Novo,28.3,78,19.1
2024-05-25,Porto-Novo,27.6,81,15.5
2024-05-26,Porto-Novo,27.9,76,17.6
2024-05-27,Porto-Novo,28.3,73,17.3
2024-05-28,Porto-Novo,27.7,77,17.6
2024-05-29,Porto-Novo,28.8,70,21.6
2024-05-30,Porto-Novo,29.2,70,20.2
2024-05-31,Porto-Novo,29.0,68.6,20.6
2024-05-24,Thimphu,14.2,70,10.8
2024-05-25,Thimphu,15.1,73,7.9
2024-05-26,Thimphu,16.4,69,13.3
2024-05-27,Thimphu,12.8,83,6.5
2024-05-28,Thimphu,12.8,88,4.3
2024-05-29,Thimphu,13.6,89,7.2
2024-05-30,Thimphu,14.0,77,8.6
2024-05-31,Thimphu,13.1,88.7,5.9
2024-05-24,Sucre,12.7,72,17.3
2024-05-25,Sucre,11.0,75,15.1
2024-05-26,Sucre,12.2,52,16.9
2024-05-27,Sucre,12.2,49,16.2
2024-05-28,Sucre,10.7,62,11.5
2024-05-29,Sucre,12.7,44,10.1
2024-05-30,Sucre,13.7,42,11.5
2024-05-31,Sucre,12.9,36.3,9.4
2024-05-24,Sarajevo,13.7,82,6.1
2024-05-25,Sarajevo,15.1,78,7.9
2024-05-26,Sarajevo,13.0,89,5.0
2024-05-27,Sarajevo,14.5,81,5.4
2024-05-28,Sarajevo,15.1,69,7.6
2024-05-29,Sarajevo,12.7,90,7.6
2024-05-30,Sarajevo,15.0,82,8.6
2024-05-31,Sarajevo,14.3,82.1,8.2
2024-05-24,Gaborone,19.0,29,8.3
2024-05-25,Gaborone,18.1,29,13.0
2024-05-26,Gaborone,18.2,26,5.4
2024-05-27,Gaborone,18.7,24,11.9
2024-05-28,Gaborone,16.7,40,13.0
2024-05-29,Gaborone,17.1,41,9.0
2024-05-30,Gaborone,17.5,34,14.4
2024-05-31,Gaborone,16.8,39.4,13.3
2024-05-24,Brasília,23.1,49,12.6
2024-05-25,Brasília,22.5,48,12.6
2024-05-26,Brasília,21.5,46,16.2
2024-05-27,Brasília,21.2,47,17.3
2024-05-28,Brasília,21.9,47,13.3
2024-05-29,Brasília,22.1,47,11.9
2024-05-30,Brasília,21.8,47,12.6
2024-05-31,Brasília,21.4,46.3,13.2
2024-05-24,Bandar Seri Begawan,27.6,83,9.0
2024-05-25,Bandar Seri Begawan,27.8,80,11.5
2024-05-26,Bandar Seri Begawan,27.8,82,11.2
2024-05-27,Bandar Seri Begawan,26.5,90,17.3
2024-05-28,Bandar Seri Begawan,27.8,77,10.8
2024-05-29,Bandar Seri Begawan,25.8,90,13.3
2024-05-30,Bandar Seri Begawan,28.2,74,10.1
2024-05-31,Bandar Seri Begawan,27.0,80.6,12.8
2024-05-24,Sofia,13.2,86,10.4
2024-05-25,Sofia,14.1,75,18.4
2024-05-26,Sofia,13.6,78,17.3
2024-05-27,Sofia,13.1,70,17.3
2024-05-28,Sofia,13.0,79,7.6
2024-05-29,Sofia,13.5,79,13.0
2024-05-30,Sofia,15.0,73,7.2
2024-05-31,Sofia,14.2,72.9,8.7
2024-05-24,Ouagadougou,34.2,38,25.2
2024-05-25,Ouagadougou,35.7,34,27.4
2024-05-26,Ouagadougou,33.8,42,36.0
2024-05-27,Ouagadougou,35.0,37,20.9
2024-05-28,Ouagadougou,36.4,33,23.4
2024-05-29,Ouagadougou,35.1,38,25.9
2024-05-30,Ouagadougou,32.4,48,28.4
2024-05-31,Ouagadougou,34.1,42.7,25.9
2024-05-24,Gitega,17.0,72,13.3
2024-05-25,Gitega,17.6,71,13.3
2024-05-26,Gitega,18.0,73,9.7
2024-05-27,Gitega,18.0,75,13.0
2024-05-28,Gitega,18.6,71,13.7
2024-05-29,Gitega,17.9,73,10.4
2024-05-30,Gitega,19.1,71,9.4
2024-05-31,Gitega,19.1,72.1,9.9
2024-05-24,Praia,24.3,57,20.5
2024-05-25,Praia,18.7,82,21.2
2024-05-26,Praia,17.7,92,14.8
2024-05-27,Praia,19.5,91,12.6
2024-05-28,Praia,20.6,84,11.5
2024-05-29,Praia,18.2,79,15.5
2024-05-30,Praia,17.4,77,12.2
2024-05-31,Praia,16.8,86.9,9.8
2024-05-24,Phnom Penh,30.5,67,15.1
2024-05-25,Phnom Penh,31.4,63,15.5
2024-05-26,Phnom Penh,31.2,63,16.9
